Cell #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
278,,35.03972,6.679368019539542,66.6096746605917,8.49982242400432,5.653480784478046,24.45700618903032,24.45700618903032,24.45700618903032,24.45700618903032
279,,6.801828,2.9428483457505727,-2.0627369966840194,4.117738682643302,2.2735958707966546,9.832211829269541,9.832211829269541,9.832211829269541,9.832211829269541
280,,31.947980000000005,6.3778861318157825,14.12043049350083,8.679236381017159,4.759495772165215,22.18700618903032,22.18700618903032,22.18700618903032,22.18700618903032
281,,44.933288000000005,7.563784711146527,85.7815634112772,8.932596566811622,6.482318010561907,25.17695323171293,25.17695323171293,25.17695323171293,25.17695323171293
282,,36.482532000000006,6.815497225769079,63.80207089940645,8.543779091793082,5.575835230478668,22.829059146347703,22.829059146347703,22.829059146347703,22.829059146347703
283,,33.184676,6.500157056750544,39.88520419353448,8.154395710898216,5.230027374772144,21.27900618903032,21.27900618903032,21.27900618903032,21.27900618903032
284,,16.48928,4.582008659988611,15.186919521064093,5.955671326437575,3.796803819194416,16.314503094515157,16.314503094515157,16.314503094515157,16.314503094515157
285,,42.45989600000001,7.352660651256956,-85.63789306125801,10.140809742609385,5.4048883233213,25.708847317078163,25.708847317078163,25.708847317078163,25.708847317078163
286,,8.24464,3.2399693949334325,81.54274415712452,6.376285492133922,1.8612292397236991,12.650238307928234,12.650238307928234,12.650238307928234,12.650238307928234
287,,2.6795080000000002,1.8470667410882116,50.51478367426033,2.5576308467434976,1.3599702232031248,5.198185350610848,5.198185350610848,5.198185350610848,5.198185350610848
288,,28.650124,6.039740957886021,-58.62618929706986,7.307546934890251,5.228224497569388,20.79274140244339,20.79274140244339,20.79274140244339,20.79274140244339
289,,45.139404000000006,7.581112992072905,6.271981389631272,8.987735500441664,6.417122895322611,24.534900274395547,24.534900274395547,24.534900274395547,24.534900274395547
290,,13.809772,4.193226420571205,-34.59699007684841,4.739126078924103,3.7449975599503187,13.198264786586927,13.198264786586927,13.198264786586927,13.198264786586927
291,,6.18348,2.805895803496449,2.293132770913638,3.4689156084338957,2.2915178869055643,8.39231774390431,8.39231774390431,8.39231774390431,8.39231774390431
292,,15.664816000000002,4.465989609504269,39.74202650642896,5.348422632608935,3.8778690291527957,14.858476615856466,14.858476615856466,14.858476615856466,14.858476615856466
293,,21.436064000000002,5.224293671710446,34.58494305000641,6.055362271207785,4.700095002306389,16.894794359760777,16.894794359760777,16.894794359760777,16.894794359760777
294,,28.031776000000004,5.974208375371424,71.21670287815382,6.550042361112015,5.486849234389927,18.976741402443395,18.976741402443395,18.976741402443395,18.976741402443395
295,,3.09174,1.9840679499552158,43.63686010601882,3.316336089910684,1.3242449944865125,5.5581588719521555,5.5581588719521555,5.5581588719521555,5.5581588719521555
296,,10.305800000000001,3.622395906045009,-66.86315071861765,3.886237568665626,3.4333475477865463,11.038423658539081,11.038423658539081,11.038423658539081,11.038423658539081
297,,59.97975600000001,8.73891281697936,34.99911567175256,8.900059116109173,8.691289132393837,29.1394298475694,29.1394298475694,29.1394298475694,29.1394298475694
298,,1.6489280000000002,1.4489583624180036,0.0,2.030349723569809,0.908,3.632,3.632,3.632,3.632
299,,31.535748,6.336604881669901,25.778066798510157,6.802813980424481,5.941583574836279,19.994900274395548,19.994900274395548,19.994900274395548,19.994900274395548
300,,19.374904,4.966779031550275,45.477370601068365,5.88149904044986,4.29698005584598,16.518688445126006,16.518688445126006,16.518688445126006,16.518688445126006
301,,27.619544,5.930117674072986,-12.775789878154058,6.721570308575588,5.334986400927393,20.448900274395545,20.448900274395545,20.448900274395545,20.448900274395545
302,,0.41223200000000004,0.7244791812090018,0.0,0.908,0.0,0.0,0.0,0.0,0.0
303,,0.20611600000000002,0.5122841418613627,-45.00001609038752,0.0,0.0,0.0,0.0,0.0,0.0
304,,51.94123200000001,8.132258639803796,-46.28002691823374,10.996232860593253,6.331657817378882,30.12532393293463,30.12532393293463,30.12532393293463,30.12532393293463
305,,31.535748,6.336604881669901,37.62000432990712,6.645853215230045,6.047920927420357,19.884741402443396,19.884741402443396,19.884741402443396,19.884741402443396
306,,69.46109200000001,9.404286743548777,-12.670633896582883,21.053510610544087,7.385624432256671,48.19406533537802,48.19406533537802,48.19406533537802,48.19406533537802
307,,56.681900000000006,8.49527142301669,57.93108850368403,13.468373152170798,7.787250180295969,38.86148280488679,38.86148280488679,38.86148280488679,38.86148280488679
308,,7.832408000000001,3.1579315375891297,72.43280576448615,4.7262098225433204,2.5108764080622805,11.038423658539081,11.038423658539081,11.038423658539081,11.038423658539081
309,,9.893568000000002,3.5492086464628105,76.96928603957473,4.692800113565245,2.770212278209784,11.492423658539082,11.492423658539082,11.492423658539082,11.492423658539082
310,,62.04091600000001,8.887797682372867,60.651201236621766,11.190383653700835,8.039155533080585,35.0414298475694,35.0414298475694,35.0414298475694,35.0414298475694
311,,90.484924,10.733544775103693,-30.961329351101497,12.887832786462392,8.983686455736018,36.02732393293463,36.02732393293463,36.02732393293463,36.02732393293463
312,,3.5039720000000005,2.1122016272233,38.47318450724418,3.6228096339508964,1.2265781373752052,6.482291265245618,6.482291265245618,6.482291265245618,6.482291265245618
313,,29.680704000000002,6.147409702336353,-82.98851899111175,6.366573459416509,6.001685487545049,19.884741402443392,19.884741402443392,19.884741402443392,19.884741402443392
314,,1.4428120000000002,1.3553764399672992,10.900708640877319,1.656494184250894,1.1376370413937513,3.288158871952156,3.288158871952156,3.288158871952156,3.288158871952156
315,,24.321688,5.564830182162855,-29.160855767632782,6.2395775692948785,5.137054756321927,17.958582530491235,17.958582530491235,17.958582530491235,17.958582530491235
